Wojewodztwo,Miejscowosc,Kategoria_PL,Kategoria_FR,Nazwa
BIAŁOSTOCKIE,Grodno,Szkło i porcelana,Verrerie et porcelaine,"Gelbort M."
BIAŁOSTOCKIE,Grodno,Szkło i porcelana,Verrerie et porcelaine,"Iwaszkowski M."
BIAŁOSTOCKIE,Grodno,Szkło i porcelana,Verrerie et porcelaine,"Krajewicz F."
BIAŁOSTOCKIE,Grodno,Szkło i porcelana,Verrerie et porcelaine,"Łapp C."
BIAŁOSTOCKIE,Grodno,Szkło i porcelana,Verrerie et porcelaine,"Finkielsztejn, Pińskaj N."
BIAŁOSTOCKIE,Grodno,Szkło i porcelana,Verrerie et porcelaine,"Karowstawska"
BIAŁOSTOCKIE,Grodno,Szkło i porcelana,Verrerie et porcelaine,"Piszczyk R."
BIAŁOSTOCKIE,Grodno,Szkło i porcelana,Verrerie et porcelaine,"Polak E."
BIAŁOSTOCKIE,Grodno,Szkło i porcelana,Verrerie et porcelaine,"Stawer M."
BIAŁOSTOCKIE,Grodno,Szkło i porcelana,Verrerie et porcelaine,"Stawer Z."
BIAŁOSTOCKIE,Grodno,Szkło i porcelana,Verrerie et porcelaine,"Wygodzki M."
BIAŁOSTOCKIE,Grodno,Szklane huty,Verreries,"x,,Narewka”"
BIAŁOSTOCKIE,Grodno,Szklane huty,Verreries,"xZjednoczone Huty Szkła, dawniej „Łosośna”"
BIAŁOSTOCKIE,Grodno,Ubezpieczeniowe agentury,Assurances,"Dowgird P."
BIAŁOSTOCKIE,Grodno,Ubezpieczeniowe agentury,Assurances,"Josem P."
BIAŁOSTOCKIE,Grodno,Ubezpieczeniowe agentury,Assurances,"xSzereszewski M., „Polonja”"
Wojewodztwo,Miejscowosc,Kategoria_PL,Kategoria_FR,Nazwa
BIAŁOSTOCKIE,Gródek,Lekarze,médecins,Hankiewicz Atanazy dr. (wewn)
BIAŁOSTOCKIE,Gródek,Lekarze,médecins,Wereszczako Zofja dr. (wewn)
BIAŁOSTOCKIE,Gródek,Lekarze dentyści,médecins den-tistes,Słucka Szulklaper Ch.
BIAŁOSTOCKIE,Gródek,Wlaściciele ziemscy,propriétaires fonciers,"Hasbach Aleks. (Izbisk 196, Stanek 3058, W. 1114)"
BIAŁOSTOCKIE,Gródek,Wlaściciele ziemscy,propriétaires fonciers,Kasprowicz Józef (Józefów 131)
BIAŁOSTOCKIE,Gródek,Wlaściciele ziemscy,propriétaires fonciers,Kozłowska Hel. (R. 331)
BIAŁOSTOCKIE,Gródek,Wlaściciele ziemscy,propriétaires fonciers,Młodecki Jozef (Jannopol 1500)
BIAŁOSTOCKIE,Gródek,Wlaściciele ziemscy,propriétaires fonciers,Młodecki Stan. (Królowy Most 1051)
BIAŁOSTOCKIE,Gródek,Ziemiopłody,Produits du sol,"Beryk E., Zbożowa Przystań 14"
BIAŁOSTOCKIE,Gródek,Ziemiopłody,Produits du sol,"Kopulski N., Napoleona 2"
BIAŁOSTOCKIE,Gródek,Apteki,pharmacies,xSzulklaper L
BIAŁOSTOCKIE,Gródek,Blacharze,ferblantiers,Frenkiel M.
BIAŁOSTOCKIE,Gródek,Blawaty,tissus,xBrotmacher J
BIAŁOSTOCKIE,Gródek,Blawaty,tissus,xGoldberg Sz.
BIAŁOSTOCKIE,Gródek,Blawaty,tissus,xSkroblacka E.
BIAŁOSTOCKIE,Gródek,Cegielnie,briqueteries,Nowiński.
BIAŁOSTOCKIE,Gródek,Cieśle,charpentiers,Siergiejczyk B.
BIAŁOSTOCKIE,Gródek,Cukierki - fabr.,fabr. de bonbons,Szwarcberg S.
BIAŁOSTOCKIE,Gródek,Czapnicy,casquettes,Borkowski J.
BIAŁOSTOCKIE,Gródek,Czapnicy,casquettes,Kirzner G.
BIAŁOSTOCKIE,Gródek,Czapnicy,casquettes,Krasewicz J.
BIAŁOSTOCKIE,Gródek,Farbiarnie,teinturiers,xBrill J.
BIAŁOSTOCKIE,Gródek,Felczerzy,"barbiers - chirurgiens","Funkt Ch., Lipowa 11"
BIAŁOSTOCKIE,Gródek,Felczerzy,"barbiers - chirurgiens","Kimche M., Dominikanska 20"
BIAŁOSTOCKIE,Gródek,Felczerzy weterynarji,aides-veterinaires,Ziołkowski H
BIAŁOSTOCKIE,Gródek,Fryzjerzy,coiffeurs,Abramicki
BIAŁOSTOCKIE,Gródek,Fryzjerzy,coiffeurs,Frenkiel
BIAŁOSTOCKIE,Gródek,Fryzjerzy,coiffeurs,Nowiński D.
BIAŁOSTOCKIE,Gródek,Galanterja,mercerie,Satyr L.
BIAŁOSTOCKIE,Gródek,Hotele,hotels,Nowosielska C.
BIAŁOSTOCKIE,Gródek,Introligatorzy,relieurs,Ruczyk A.
BIAŁOSTOCKIE,Gródek,Kafle - fabr.,fabr. de carreaux,Nowiński.
BIAŁOSTOCKIE,Gródek,Kamasznicy,tiges pour chaussures,Jasienowski
BIAŁOSTOCKIE,Gródek,Kamasznicy,tiges pour chaussures,Lew A.
BIAŁOSTOCKIE,Gródek,"Konie -handel",march. de chevaux,Fiszelewicz A.
BIAŁOSTOCKIE,Gródek,"Konie -handel",march. de chevaux,Kaleka P.
BIAŁOSTOCKIE,Gródek,Kooperatywy,coop ratives,xZrszeszenie Oficerćw Rezerwy.
BIAŁOSTOCKIE,Gródek,Kooperatywy,coop ratives,"xPowszechna Spółdzielnia Robotnicza w Białymstoku, oddz. w Gródku, Sp. z o. o."
BIAŁOSTOCKIE,Gródek,Kowale,forgerons,Gnieczucki
BIAŁOSTOCKIE,Gródek,Kowale,forgerons,Szemen M.
BIAŁOSTOCKIE,Gródek,Kowale,forgerons,Wajner A
BIAŁOSTOCKIE,Gródek,Krawcy,tailleurs,Chrabłowski
BIAŁOSTOCKIE,Gródek,Krawcy,tailleurs,Cigel Ch.
BIAŁOSTOCKIE,Gródek,Krawcy,tailleurs,Fidel J.
BIAŁOSTOCKIE,Gródek,Krawcy,tailleurs,Garber
BIAŁOSTOCKIE,Gródek,Krawcy,tailleurs,Klaczko R.
BIAŁOSTOCKIE,Gródek,Krawcy,tailleurs,Koszewicz I.
BIAŁOSTOCKIE,Gródek,Krawcy,tailleurs,Kremer Ch.
BIAŁOSTOCKIE,Gródek,Krawiectwo damskie,"tailleurs p. dames el couturieres",Miller Ch.
BIAŁOSTOCKIE,Gródek,Krawiectwo damskie,"tailleurs p. dames el couturieres",Nietubska G.
BIAŁOSTOCKIE,Gródek,Krawiectwo damskie,"tailleurs p. dames el couturieres",Szuster ' L.
BIAŁOSTOCKIE,Gródek,Krawiectwo damskie,"tailleurs p. dames el couturieres",Wiorst H.
BIAŁOSTOCKIE,Gródek,Mechaniczne warsztaty,mecani-ciens,Wasilkowski.
BIAŁOSTOCKIE,Gródek,Mlyny,moulins,Goldsztejn (par)
