lp,Nazwy ulic w 1932 roku,Po białorusku,Po rosyjsku,Zapis alfabetem łacińskim + komentarze
244,Wapienna,Зернова,,Zernova obok dawnej Grabarskiej
245,Warzywna,,,Nie istnieje, ulica mieszcząca się kiedyś w okolicach Rybiego rynku, dziś pomiędzy ulicami Bolszaja i Malaja Troskaja
246,Wąska,,,Nie istnieje ?? obecnie niedaleko ul Podolnej
247,Wigierska,Бертеля,,Bertelja
248,Wileńska,Виленский пер.,,Wileński pier.
249,Witoldowa,Социалистическая,,Socjalistyczeskaja (połączona z Pocztową)
250,"Wołłowicza plac (u Prochowni)",,,teraz na tym terenie znajdują się dwa piereulki per. Porohovoj I per. Belusha oraz plac
251,Wronia,Бабкина,,Babkina
252,"Wróblewskiego Zyg. (d. Skarbowa)",Урицкого,,Urickovo
253,"Wysockiego P.",Артема,,Artema
254,Wysoka,,,Powinna znajdować się w okolicy ulic Darvina, Pugacheva, Novooktjabrskoj. Niestety nie została zaznaczona na przedwojennej polskiej mapie, podano tylko kwadrat F7
255,Zajęcza,,,Zapewne istnieje, tylko niewiadomo jaką ma nazwę, łączy obecne ulice Zaharova oraz Krasnoarmejskaja.
256,Zakręt,,,Nie istnieje, boczna obecnej ulicy Podolnaja w okolicach cementarza Farnego
257,Zamkowa,Замковая,,Zamkova
258,Zana,Зана,,Zana
259,Zawierszczyzna,,,Teraz część to Park LKSMB 40 Lecia парк 40 ЛЕТ ЛКСМБ (ЛЕНИНСКИЙ КОММУНИСТИЧЕСКИЙ СОЮЗ МОЛОДЕЖИ БЕЛОРУССИИ)
260,"Zbocze (Część d. Fabrycznej)",,,Nie istnieje teraz ulica ta łączyłaby ulice Starozamkowaja z ulicą Bolshaja Troickaja
261,Zbożowa,Збожовая,,Zbozhovaja
262,Zdrojowa,,,Nie istnieje, boczna obecnej ulicy Prigorodnaja w okolicach cementarza Farnego
263,"Zduńska (d z-k Jerozolim)",Захарова, Полиграфистов,,Zacharova możliwe że to obecny kawałek ulicy Poligrafistov
264,"Zielna (d. Ceglana)",Зелёная,,Zelonaja
265,Zielona,Студенческая,,Obecncie to ulica Studenckaya obok Per. Telegraficznyj
266,Zjazd,,,Nie istnieje okolice obecnej ulicy Darvina i Levonadberezhnej
267,Złotarska,Калючинская,,Kaljuczinskaja
268,Żabia,,,Nie istnieje, ulica mieszcząca się kiedyś w okolica Rybiego rynku, dziś pomiędzy ulicami Bolszaja i Malaja Troskaja
269,"Żelazna (od Białegost.)",,,nie istnieje powinna być na przedłużeniu Lelevela
270,Żeromskiego,Ватутина,,Vatutina
271,Żórawia,Новосельская,,Novoselskaja boczna Prigorodnoj
272,"Żytnia (u maj. Stanisławów)",Тимирязева,,Timirjazeva połączona z dawną Stanisławowską
